part	c1	c2	c3	c4
1	4.1	5.82	10.04	8.81
2	3.8	5.87	10.23	7.72
3	4.33	5.3	9.93	8.42
4	3.36	5.45	10.09	7.57
5	4.26	5.49	9.97	8.06
6	4.44	5.65	10.13	8.39
7	3.91	4.98	10.23	7.49
8	3.86	5.07	NA	8.37
9	4.24	5.75	10.25	8.14
10	3.97	5.54	10.19	7.78
11	3.78	5.02	10.02	7.69
12	3.9	5.16	9.98	8.19
13	3.38	5.1	9.71	7.5
14	3.68	4.88	10.17	8.75
15	3.98	5.2	9.96	7.88
16	4.4	5.81	9.86	7.76
17	4.68	5.6	9.84	7.93
18	4.23	5.67	10.2	8.37
19	4.42	6.29	10.26	8.28
20	3.67	5.04	9.75	7.47
21	3.45	5.75	10.01	8.25
22	4.96	6.77	10.61	9.18
23	4.49	5.89	10.17	8.73
24	3.84	5.89	9.95	7.05
25	3.32	4.55	9.43	6.61
26	3.65	5.51	9.87	8.49
27	3.78	6.12	10.02	8.11
28	3.72	5.03	9.82	7.06
29	3.96	5.04	10.13	7.91
30	4.27	5.84	10.13	7.76
31	3.43	5.09	9.66	7.53
32	4.34	5.5	9.92	8.44
33	4.13	5.42	9.64	7.78
34	4.01	4.8	9.77	7.76
35	4.41	6.33	9.97	8.5
36	4.07	4.87	10.06	8.46
37	4.51	5.92	10.14	NA
38	4.01	5.42	9.79	8.49
39	3.99	5.7	10.06	7.84
40	3.89	4.98	9.91	7.88
41	3.67	5.16	9.9	7.47
42	4.45	5.4	10.23	9.16
43	3.97	6.03	10.04	7.78
44	4.33	6.03	10.19	8.44
45	3.76	5.74	10.09	7.84
46	4.93	6.25	10.09	8.08
47	3.56	4.54	9.69	7.75
48	4.58	6.1	10.07	8.03
49	4.77	5.57	10.06	8.26
50	4.23	5.05	9.69	7.96
51	3.41	5.31	9.89	7.77
52	3.97	5.82	10.17	8.61
53	4.04	5.62	10	8.48
54	3.36	4.63	9.75	7.93
55	4	5.34	10.17	7.78
56	3.53	5.38	9.86	7.82
57	4.48	5.95	10.41	8.89
58	4.55	5.47	10.05	7.44
59	4.11	5.33	9.95	7.28
60	4.34	5.58	10.11	7.74
61	3.77	5.11	10.09	7.9
62	4.8	5.81	10.24	8.27
63	3.69	5.92	10.2	7.55
64	4.34	5.84	9.73	8.08
65	4.09	5.56	10.03	8.1
66	3.6	5.44	10.03	8.25
67	4.59	6.27	9.89	8.27
68	3.95	5.8	10.35	8.45
69	3.69	5.56	10.06	7.44
70	3.81	6.08	9.92	8.13
71	4.49	6.03	9.84	8.01
72	3.33	5.95	9.95	7.85
73	3.52	4.96	9.5	7.57
74	4.07	5.2	10.01	7.64
75	3.71	4.98	9.83	7.32
76	3.8	6.13	10.11	7.98
77	3.62	5.03	9.66	7.99
78	3.78	5.02	9.89	7.51
79	3.69	5.22	9.88	7.69
80	4.29	5.98	10.19	8.59
81	3.77	5.01	10.06	7.63
82	3.68	5.65	10.05	7.64
83	3.84	5.68	9.87	8.58
84	4.44	5.81	10.14	8.8
85	3.68	5.1	9.93	7.51
86	2.98	4.91	10.09	7.27
87	4.7	6.43	10.32	9.11
88	4.01	5.34	10.15	8
89	4.14	6.38	10.03	8.44
90	4.63	6.47	10.22	8.49
91	3.32	5.06	9.96	7.7
92	4.3	5.62	9.94	8.43
93	4.05	5.47	10.05	8.31
94	4.16	5.3	10.02	8.05
95	3.43	5.38	9.96	7.47
96	3.77	5.11	9.79	8.27
97	3.96	5.45	10.12	8.17
98	3.83	5.41	10.08	8.04
99	3.57	5.23	9.61	7.01
100	4.28	5.92	10.3	8.97
101	3.42	5.51	10.05	7.74
102	3.92	5.94	10.14	7.8
103	3.65	5.56	9.83	8.31
104	3.88	5.34	9.99	7.65
105	4.14	5.79	9.67	8.05
106	3.57	5.14	9.79	7.51
107	4.65	6	9.72	8.11
108	3.61	4.89	9.82	7.89
109	3.81	6.13	9.96	8.29
110	4.16	5.12	9.69	7.02
111	3.69	4.79	9.83	7.32
112	3.61	5.19	10.2	7.78
113	4.47	5.84	10.15	8.99
114	4.1	5.11	9.72	7.93
115	4.12	6.39	10.34	8.06
116	4.03	5.53	10	8.24
117	4.5	6.34	10.31	8.72
118	3.57	5.65	9.91	8.15
119	4.35	5.75	10.06	8.14
120	4	5.76	10.11	8.25
121	3.19	5.22	9.71	7.31
122	3.59	4.43	10.19	7.42
123	3.53	5.93	9.91	7.76
124	4.16	5.05	10.14	7.66
125	3.46	4.84	9.72	8.1
126	4.15	6.01	9.92	7.57
127	3.98	4.91	10.26	8.43
128	4.25	5.76	9.89	7.82
129	4.55	5.42	10.12	8.05
130	4.77	6.39	10.24	9.27
131	4.16	5.67	9.89	7.91
132	4.68	6.38	10.16	8.32
133	4.16	4.88	9.84	8.46
134	3.82	5.07	9.93	7.96
135	3.92	5.53	10.27	8.5
